island,survey_year,live_coral_cover_pct,lcc_change_rate,island_vs_region_pct,grp_available_substrate,grp_sand,grp_disturbance_indicators,grp_pollution_indicators,fish_butterflyfish,fish_snapper,fish_parrotfish,fish_grouper,inv_diadema_urchin,inv_crown_of_thorns,grazer_ratio,impact_anchor,impact_nets,impact_trash,impact_bleaching,impact_cot,latitude,longitude
Penyu,-1.8739145615639596,-0.18811934219835957,-0.09972129988664707,-0.24531302823281967,0.08537944092334597,-0.02186672053922182,0.03668801089168005,-0.008054136496670927,0.06291908513653609,-0.11704037131742182,0.09458211972350855,-0.011629414045945155,-0.07634965917711495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15130021428145535,0.6538640745882031
Sipadan,-1.543164828444828,-0.3568236475746853,0.30462123894276,-2.067223480030876,0.08537944092334597,-0.02186672053922182,-0.01810781653452023,-0.03183430055466442,0.06291908513653609,-0.1432943380315831,0.10692350581769859,-0.09954586724790943,-0.12733987608743536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6868893876125243
Tiga,-2.414730800652828,1.4557198234805964,-0.20047470250038563,1.1172863251939205,0.0,-0.02186672053922182,0.03668801089168005,-0.011844874127233269,0.06291908513653609,-0.01711734856859097,-0.26952441958823214,-0.24518880841950835,-0.07634965917711495,0.0,0.0,0.0,0.11138411302950832,0.0,0.0,0.0,0.04707283041873982,-0.24863777229916886
Tun Mustapha Park,-1.8739145615639596,-0.18811934219835957,0.22275732296712109,-0.23263008002030736,0.08537944092334597,-0.02186672053922182,0.03668801089168005,0.31261920877871746,0.06291908513653609,-0.1432943380315831,0.02746640737356782,-0.09954586724790943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3082878719183656
Tun Sakaran Marine Park,-1.543164828444828,-0.3568236475746853,0.30462123894276,-2.067223480030876,0.08537944092334597,-0.02186672053922182,-0.01810781653452023,-0.03183430055466442,0.06291908513653609,-0.19929211158171092,-0.028233954637407785,0.17958887166832715,-0.12733987608743536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6868893876125243
Tunku Abdul Rahman Park,-2.414730800652828,1.4557198234805964,-0.20047470250038563,1.1172863251939205,0.0,-0.02186672053922182,0.03668801089168005,0.3088284711481551,0.06291908513653609,-0.01711734856859097,-0.08045357241036251,-0.24518880841950835,0.12694280682460066,0.0,0.0,0.0,0.11138411302950832,0.0,0.0,0.0,-0.15130021428145535,-0.24863777229916886
Usukan Cove,-2.414730800652828,1.5040880931578144,0.3142356514187825,1.1299692734064328,0.0,-0.02186672053922182,0.03668801089168005,0.3088284711481551,-2.390925235188372,-0.09936908883288005,-0.013337860060421772,0.47310031340650377,0.0,0.0,0.0,0.0,0.11138411302950832,0.0,0.0,0.0,0.0,-0.21561245927484768
Bidong & Yu,-2.970234180755893,-0.058634474787875146,0.41498905403252107,-0.23263008002030736,0.08537944092334597,-0.0069148846901603426,-0.01810781653452023,0.31261920877871746,0.06291908513653609,3.424822517741826,-0.028233954637407785,-0.08791645320196428,0.0,0.0,0.0,0.0,0.0,-0.25860668083330507,0.0,0.0,0.0,-0.35541961774447395
Kapas,-1.543164828444828,-0.3568236475746853,-0.017857383911008183,-2.4489628610327023,0.08537944092334597,-0.02186672053922182,-0.01810781653452023,-0.03183430055466442,0.06291908513653609,-0.11704037131742182,-0.028233954637407785,-0.011629414045945155,-0.2036895352645503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04707283041873982,-0.24863777229916886
Lang Tengah,-2.414730800652828,1.5040880931578144,0.3142356514187825,1.1299692734064328,0.0,-0.02186672053922182,-0.01810781653452023,0.3088284711481551,0.06291908513653609,-0.04337131528275225,-0.1361539344213381,-0.3214758475755275,0.0,0.0,0.0,0.0,0.11138411302950832,0.0,0.0,0.0,0.0,-0.35541961774447395
